
At 2016-10-16 04:42:36  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.17, decay = 5.01
Error in svd(X) : a dimension is zero

At 2016-10-16 04:42:41  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.1
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25

At 2016-10-16 05:00:14  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.16
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 05:16:14  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.27
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 05:32:34  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.43
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 05:49:58  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 0.71
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 06:06:09  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 1.15
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 06:22:26  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 1.88
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 06:39:52  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 3.07
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.

At 2016-10-16 06:56:57  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 10, coef: 0.5, decay = 5.01
Error in solve.default(H) : 
  system is computationally singular: reciprocal condition number = 1.93043e-25
In addition: Warning message:
In ergm.MCMCse(theta = theta, init = init, statsmatrix = statsmatrix0,  :
  Approximate Hessian matrix is singular. Standard errors due to MCMC approximation of the likelihood cannot be evaluated. This is likely due to insufficient MCMC sample size or highly correlated model terms.
